Open,High,Low,Close,Adj Close,Volume,Price Change
0.771429,0.795714,0.771429,0.783571,0.783571,1937600,0.0121419999999999
0.771429,0.857143,0.762143,0.815,0.815,5356400,0.0435709999999999
0.825,0.845714,0.809286,0.838571,0.838571,5322800,0.013571
0.835,0.907143,0.828571,0.886429,0.886429,5434800,0.051429
0.857857,0.883571,0.855,0.867143,0.867143,4408600,0.009286
0.871429,0.882143,0.836429,0.86,0.86,2549400,-0.011429
0.849286,0.882143,0.847857,0.871429,0.871429,9430400,0.022143
0.907143,0.956429,0.857143,0.857143,0.857143,18653600,-0.05
0.842857,0.85,0.789286,0.817143,0.817143,5364800,-0.025714
0.826429,0.85,0.792857,0.814286,0.814286,6081600,-0.012143
0.812857,0.853571,0.805714,0.828571,0.828571,4173400,0.0157139999999998
0.850714,0.905714,0.835714,0.87,0.87,7219800,0.019286
0.875,0.884286,0.846429,0.880714,0.880714,6353200,0.0057139999999999
0.864286,0.877143,0.836429,0.877143,0.877143,3439800,0.012857
0.859286,0.917857,0.850714,0.896429,0.896429,4946200,0.037143
0.9,0.9,0.845,0.881429,0.881429,2956800,-0.018571
0.892857,0.911429,0.882143,0.902143,0.902143,3700200,0.009286
0.905714,0.946429,0.89,0.942857,0.942857,4019400,0.0371429999999999
0.938571,0.941429,0.892857,0.914286,0.914286,2836400,-0.024285
0.9,0.910714,0.860714,0.878571,0.878571,2039800,-0.021429
0.875714,0.885714,0.844286,0.852857,0.852857,3484600,-0.022857
0.854286,0.857143,0.824286,0.832143,0.832143,3735200,-0.022143
0.842857,0.875,0.835,0.87,0.87,5016200,0.027143
0.873571,0.912143,0.867857,0.890714,0.890714,7305200,0.017143
0.921429,0.935714,0.900714,0.927143,0.927143,4790800,0.0057139999999999
0.955,0.957143,0.928571,0.948571,0.948571,5615400,-0.0064289999999999
0.950714,0.950714,0.944286,0.944286,0.944286,6092800,-0.0064279999999999
0.952143,1.02,0.947143,1.017143,1.017143,8435000,0.0649999999999999
1.022143,1.056429,1.002857,1.047143,1.047143,6267800,0.0249999999999999
1.058571,1.089286,1.048571,1.081429,1.081429,5118400,0.022858
1.106429,1.125,1.074286,1.098571,1.098571,6339200,-0.0078580000000001
1.1,1.1,1.032857,1.064286,1.064286,6255200,-0.035714
1.024286,1.042143,1.000714,1.002857,1.002857,12339600,-0.0214289999999999
0.986429,1.060714,0.965,1.046429,1.046429,4629800,0.06
1.054286,1.06,1.006429,1.039286,1.039286,3878000,-0.0150000000000001
1.058571,1.178571,1.055,1.178571,1.178571,23119600,0.1200000000000001
1.187857,1.228571,1.164286,1.222143,1.222143,11879000,0.034286
1.207857,1.22,1.125,1.14,1.14,15797600,-0.067857
1.142143,1.172143,1.11,1.167857,1.167857,5565000,0.025714
1.168571,1.168571,1.125714,1.153571,1.153571,3498600,-0.0150000000000001
1.165,1.177857,1.142857,1.164286,1.164286,3455200,-0.0007140000000001
1.141429,1.185714,1.125,1.149286,1.149286,4853800,0.007857
1.141429,1.164286,1.122143,1.123571,1.123571,3424400,-0.0178579999999999
1.123571,1.125,1.071429,1.107143,1.107143,5531400,-0.0164280000000001
1.103571,1.107857,1.064286,1.075714,1.075714,5751200,-0.027857
1.097143,1.183571,1.089286,1.160714,1.160714,7560000,0.063571
1.185714,1.210714,1.170714,1.182143,1.182143,6129200,-0.0035709999999999
1.184286,1.292143,1.118571,1.285714,1.285714,16616600,0.101428
1.321429,1.37,1.290714,1.339286,1.339286,21091000,0.017857
1.363571,1.398571,1.335714,1.374286,1.374286,16062200,0.0107149999999998
1.389286,1.406429,1.329286,1.345,1.345,14603400,-0.044286
1.365,1.400714,1.307857,1.325,1.325,8150800,-0.04
1.305,1.328571,1.267857,1.285714,1.285714,8996400,-0.0192859999999999
1.285714,1.392143,1.282143,1.375,1.375,12602800,0.0892859999999999
1.385714,1.481429,1.375,1.471429,1.471429,18580800,0.0857150000000002
1.464286,1.565,1.442857,1.552143,1.552143,30632000,0.087857
1.553571,1.595,1.479286,1.504286,1.504286,26143600,-0.049285
1.442143,1.507143,1.436429,1.453571,1.453571,8283800,0.0114279999999999
1.464286,1.47,1.325714,1.354286,1.354286,17019800,-0.1099999999999998
1.428571,1.472143,1.397143,1.417143,1.417143,22761200,-0.0114279999999999
1.442857,1.446429,1.397143,1.428571,1.428571,8033200,-0.014286
1.44,1.459286,1.388571,1.396429,1.396429,5884200,-0.043571
1.442857,1.517857,1.411429,1.425,1.425,10315200,-0.017857
1.420714,1.471429,1.364286,1.441429,1.441429,6265000,0.020715
1.482143,1.485714,1.428571,1.457143,1.457143,5864600,-0.0249999999999999
1.463571,1.511429,1.436429,1.501429,1.501429,5419400,0.0378579999999999
1.5,1.55,1.475,1.483571,1.483571,4790800,-0.016429
1.450714,1.478571,1.435714,1.442857,1.442857,5355000,-0.007857
1.435714,1.45,1.408571,1.439286,1.439286,6311200,0.0035720000000001
1.448571,1.472857,1.435714,1.469286,1.469286,4533200,0.020715
1.475,1.571429,1.469286,1.568571,1.568571,13462400,0.0935709999999998
1.748571,1.748571,1.602857,1.640714,1.640714,30570400,-0.107857
1.647143,1.649286,1.432143,1.48,1.48,36787800,-0.167143
1.467143,1.627857,1.45,1.572857,1.572857,35765800,0.1057139999999998
1.570714,1.585714,1.492143,1.510714,1.510714,14922600,-0.06
1.5,1.589286,1.5,1.582857,1.582857,22727600,0.0828569999999999
1.579286,1.642857,1.579286,1.628571,1.628571,20129200,0.049285
1.635,1.662857,1.553571,1.628571,1.628571,11071200,-0.006429
1.619286,1.631429,1.596429,1.607143,1.607143,14984200,-0.012143
1.603571,1.642857,1.6,1.616429,1.616429,12334000,0.0128579999999998
1.601429,1.742143,1.601429,1.669286,1.669286,14449400,0.067857
1.669286,1.727857,1.635714,1.658571,1.658571,14964600,-0.010715
1.658571,1.7,1.632143,1.687857,1.687857,13473600,0.0292859999999999
1.665,1.672143,1.626429,1.634286,1.634286,10046400,-0.0307140000000001
1.635714,1.65,1.592857,1.615714,1.615714,5926200,-0.0199999999999997
1.635,1.710714,1.621429,1.680714,1.680714,11788000,0.045714
1.692857,1.803571,1.682143,1.796429,1.796429,18207000,0.103572
1.848571,1.852143,1.737143,1.748571,1.748571,19117000,-0.0999999999999998
1.755714,1.784286,1.725,1.747143,1.747143,10684800,-0.0085710000000001
1.751429,1.757143,1.642857,1.699286,1.699286,12966800,-0.0521429999999998
1.664286,1.672857,1.466429,1.485,1.485,30472400,-0.1792859999999998
1.525,1.567857,1.467857,1.553571,1.553571,20209000,0.0285710000000001
1.554286,1.556429,1.482857,1.513571,1.513571,9451400,-0.040715
1.512857,1.631429,1.507143,1.613571,1.613571,14278600,0.1007140000000001
1.633571,1.657143,1.578571,1.58,1.58,8171800,-0.053571
1.575,1.639286,1.571429,1.620714,1.620714,13883800,0.045714
1.629286,1.675,1.553571,1.614286,1.614286,10127600,-0.0149999999999999
1.61,1.643571,1.579286,1.628571,1.628571,7277200,0.0185709999999998
1.630714,1.639286,1.582143,1.607143,1.607143,10476200,-0.023571
1.607857,1.732143,1.607857,1.664286,1.664286,17547600,0.0564289999999998
1.663571,1.718571,1.646429,1.704286,1.704286,8548400,0.040715
1.722143,1.8,1.715,1.742857,1.742857,12420800,0.0207140000000001
